"Category","air temp","ground temp", "albedo"
0,0,0,0.25
1,20,20,0.25
2,20,20,0.25
3,20,20,0.25
4,20,20,0.25
5,20,20,0.25
6,20,20,0.25
7,20,20,0.25
8,20,20,0.25
9,20,20,0.25
10,20,20,0.25
11,20,20,0.25
12,20,20,0.25
13,20,20,0.25
14,20,20,0.25
15,20,20,0.25
16,20,20,0.25
17,20,20,0.25
18,20,20,0.25
19,20,20,0.25
20,20,20,0.25
21,20,20,0.25
22,20.317460317460302,20,0.25
23,20.47619047619048,20,0.25
24,20.63492063492066,20,0.25
25,20.793650793650784,20,0.25
26,20.952380952380963,20,0.25
27,21.428571428571445,20,0.25
28,20.952380952380963,20,0.25
29,21.587301587301567,20,0.25
30,22.380952380952408,20,0.25
31,22.380952380952408,20,0.25
32,22.380952380952408,20,0.25
33,22.69841269841271,20,0.25
34,22.53968253968253,20,0.25
35,22.857142857142833,20,0.25
36,23.333333333333314,20,0.25
37,23.809523809523796,20,0.25
38,23.650793650793673,20,0.25
39,23.809523809523796,20.100000000000023,0.25
40,23.968253968253975,20.100000000000023,0.25
41,24.444444444444457,20.30000000000001,0.25
42,24.444444444444457,20.600000000000023,0.25
43,24.76190476190476,20.80000000000001,0.25
44,25.23809523809524,21.100000000000023,0.25
45,25.873015873015902,21.69999999999999,0.25
46,26.031746031746025,21.899999999999977,0.25
47,26.031746031746025,22.100000000000023,0.25
48,25.873015873015902,22.399999999999977,0.25
49,25.555555555555543,22.5,0.25
50,25.39682539682542,22.600000000000023,0.25
51,25.39682539682542,22.80000000000001,0.25
52,25.07936507936506,23.30000000000001,0.25
53,25.714285714285722,23.80000000000001,0.25
54,25.555555555555543,24.100000000000023,0.25
55,25.555555555555543,24.19999999999999,0.25
56,25.07936507936506,24.600000000000023,0.25
57,25.07936507936506,25.100000000000023,0.25
58,25.714285714285722,25.30000000000001,0.25
59,25.873015873015902,26,0.25
60,25.555555555555543,26.30000000000001,0.25
61,26.031746031746025,26.19999999999999,0.25
62,25.39682539682542,26.19999999999999,0.25
63,25.07936507936506,26.5,0.25
64,24.76190476190476,26.19999999999999,0.25
65,24.92063492063494,26,0.25
66,24.92063492063494,26.30000000000001,0.25
67,25.07936507936506,26.19999999999999,0.25
68,25.39682539682542,26.30000000000001,0.25
69,25.07936507936506,26.399999999999977,0.25
70,26.031746031746025,26.30000000000001,0.25
71,25.39682539682542,26.19999999999999,0.25
72,25.07936507936506,25.69999999999999,0.25
73,25.873015873015902,25.69999999999999,0.25
74,25.555555555555543,26,0.25
75,25.714285714285722,25.899999999999977,0.25
76,26.190476190476204,26.30000000000001,0.25
77,26.190476190476204,26.30000000000001,0.25
78,25.873015873015902,26.399999999999977,0.25
79,26.031746031746025,26.399999999999977,0.25
80,25.873015873015902,25.80000000000001,0.25
81,25.873015873015902,25.600000000000023,0.25
82,25.873015873015902,25.69999999999999,0.25
83,26.190476190476204,25.80000000000001,0.25
84,25.714285714285722,25.80000000000001,0.25
85,25.555555555555543,26,0.25
86,25.23809523809524,26.100000000000023,0.25
87,24.444444444444457,26.19999999999999,0.25
88,24.92063492063494,26.600000000000023,0.25
89,25.714285714285722,26.5,0.25
90,25.714285714285722,26.100000000000023,0.25
91,25.555555555555543,26.399999999999977,0.25
92,25.873015873015902,26.600000000000023,0.25
93,26.031746031746025,26.899999999999977,0.25
94,25.873015873015902,27.100000000000023,0.25
